page	ink_ratio	bbox_left	bbox_top	bbox_right	bbox_bottom	margin_flag
154	0.02316	21	27	288	426	OK
155	0.03258	21	27	288	426	OK
156	0.02805	21	27	282	426	OK
157	0.02994	21	27	282	426	OK
158	0.03604	21	27	283	426	OK
159	0.03369	21	27	287	426	OK
160	0.04413	21	27	288	426	OK
161	0.04804	21	27	286	426	OK
162	0.03929	21	27	287	426	OK
163	0.04649	21	27	289	426	OK
164	0.04659	21	27	288	426	OK
165	0.04602	21	27	288	426	OK
166	0.04180	21	27	285	426	OK
167	0.03376	21	27	287	426	OK
168	0.02318	21	27	283	426	OK
169	0.02462	21	27	278	426	OK
170	0.02629	21	27	287	426	OK
171	0.02331	21	27	279	426	OK
172	0.02439	21	27	278	426	OK
173	0.02380	21	27	286	426	OK
174	0.02978	21	27	288	426	OK
175	0.02698	21	27	287	426	OK
176	0.05679	21	27	286	426	OK
177	0.03661	21	27	283	426	OK
